Address,cost_for_two,cuisins,featured_IN,hours,location,ratings,restaurantName,restaurantType
"[u' 62/1, Near Easy Day, West Shivaji Nagar, Goalpura, Shahganj']",Rs. 300,"Fast Food, Mithai",Must Visit Restaurants In Agra, 9:30am 11pm Mon Sn  ,[u'Shahganj'],"4.2-(1,066),4.2-(33.2K)",BhagatHalwai,"[u'Quick Bites,Sweet Shop']"
"[u' Kalyani Point, Near Tulsi Cinema, Bypass Road, Khandari, Agra']",Rs. 700,"North Indian, South Indian, Mithai, Street Food, Desserts, Chinese, Bakery, Pizza",-, 8:30am 10:30pm Mon Sn  ,[u'Khandari'],"4.3-(1,107),4.4-(37.1K)",Bikanervala,[u'Quick Bites']
"[u' 4-5, Ashok Cosmos Mall, Sanjay Place, Civil Lines, Agra']",Rs. 500,"Burger, Fast Food",-, 11am 9pm Mon Sn  ,[u'Civil Lines'],"4.4-(1,220),4.4-(3,443)",McDonalds,[u'Quick Bites']
"[u' Near Anjana Cinema, Nehru Nagar, Civil Lines, Agra']",Rs. 300,"Fast Food, Mithai, Chinese, South Indian, Beverages",Sweet Tooth, 8am 11pm Mon Te Th Fri Sat Sn  8am     ,[u'Civil Lines'],"4.3-(997),4.5-(25.4K)",BhagatHalwai,"[u'Quick Bites,Dessert Parlor']"
"[u' A-17, Shoping Arcade, Sadar Bazaar, Agra Cantt, Agra']",Rs. 600,"North Indian, Mughlai, Rolls, Chinese, Fast Food, Street Food",-, 12midnight 1am 12:30pm 12midnight Mon  1pm    ,[u'Agra Cantt'],"4.4-(1,566),4.2-(25.5K)",MamaChickenMamaFrankyHouse,[u'Quick Bites']
"[u' 114/23 G, Deep Shikha Complex, Sanjay Place, Civil Lines, Agra']",Rs. 400,"Pizza, Fast Food",-, 10:57am 11pm Mon Sn  ,[u'Civil Lines'],"4.2-(859),4.4-(6,377)",DominosPizza,[u'Quick Bites']
"[u' 23/453, Opposite Sanjay Cinema, Wazipura Road, Sanjay Place, Civil Lines, Agra']","Rs. 1,600","North Indian, Chinese, Mughlai","Must Visit Restaurants In Agra, Best Indian Restaurants, Great Food, No Bull", 12noon 9pm Mon Sn  ,[u'Civil Lines'],"4.7-(1,003),4.2-(3,863)",PinchOfSpice,[u'Casual Dining']
"[u' 23/301, Wazirpura Road, Judge Compound Chowraha, Wazirpura, Civil Lines, Agra']",Rs. 500,"Bakery, Fast Food",-, 9am 9pm Mon Sn  ,[u'Civil Lines'],"3.9-(527),3.5-(25.6K)",CakeHouse,[u'Bakery']
"[u' 26/118, Opposite Income Tax Building, Sanjay Place, Civil Lines, Agra']",Rs. 700,"North Indian, South Indian, Chinese, Bakery, Continental",-, 10am 11pm Mon Sn  ,[u'Civil Lines'],"4.1-(595),4.2-(12.7K)",Aahar,[u'Casual Dining']
"[u' Heera Bagh, Khel Gaon, Dayal Bagh, Agra']",Rs. 250,"Chinese, Mithai, South Indian, Pizza, Burger, Bakery, Beverages",-, 8am 10:30pm Mon Sn  ,[u'Dayal Bagh'],"4.1-(573),4.2-(11.3K)",BhagatHalwai,"[u'Quick Bites,Sweet Shop']"
"[u' 1/48, Delhi Gate, Station Road, Raja Mandi, Civil Lines, Agra']",Rs. 300,North Indian,Trending This Week, 12noon 12midnight Mon Sn  ,[u'Civil Lines'],"4.3-(579),4.2-(11.3K)",YadavDhabaPurana,[u'Dhaba']
"[u' 6/27/1A, Hotel Alleviate, Yamuna Kinara Road, Belanganj, Civil Lines, Agra']","Rs. 1,200","Continental, North Indian, Chinese","Rooftops, Great Food, No Bull", 11:30am 10:30am Mon Sn  ,[u'Civil Lines'],"4.5-(734),4.1-(1,985)",Hichkee,[u'Casual Dining']
"[u' 18/159D, Hotel M House, Fatehabad Road, Near Purani Mandi, Tajganj, Agra']","Rs. 1,000","Chinese, Italian, Continental, North Indian","Great Food, No Bull", 12noon 11:30pm Mon Sn  ,[u'Tajganj'],"4.6-(944),3.5-(671)",TeaseMeRooftopTeaBoutique,[u'Casual Dining']
"[u' Delhi Gate, Raja Mandi Station Road, Civil Lines, Agra']",Rs. 250,North Indian,-, 10:30am 11pm Mon Sn  ,[u'Civil Lines'],"4.3-(493),4.3-(9,717)",PapaJiDaDhaba,[u'Dhaba']
"[u' 8, Handicraft Nagar, Fatehabad Road, Tajganj, Agra']",Rs. 600,"Pizza, Fast Food, Finger Food, American",-, 11am 11pm Mon Sn  ,[u'Tajganj'],"4.3-(693),4.1-(2,456)",PizzaHut,"[u'Casual Dining,Caf\xe9']"
"[u' Delhi Gate, Raja Mandi Station Road, Civil Lines, Agra']",Rs. 250,North Indian,-, 10:30am 11pm Mon Sn  ,[u'Civil Lines'],"4.3-(493),4.3-(9,718)",PapaJiDaDhaba,[u'Dhaba']
"[u' 8, Handicraft Nagar, Fatehabad Road, Tajganj, Agra']",Rs. 600,"Pizza, Fast Food, Finger Food, American",-, 11am 11pm Mon Sn  ,[u'Tajganj'],"4.3-(693),4.1-(2,457)",PizzaHut,"[u'Casual Dining,Caf\xe9']"
"[u' Opposite Soami Bagh Temple, Dayal Bagh, Agra']",Rs. 500,"North Indian, Fast Food, Chinese, South Indian","Great Food, No Bull", 11am 11pm Mon Sn  ,[u'Dayal Bagh'],"4.5-(833),4.0-(13.5K)",HoneydewRestaurant,[u'Quick Bites']
